N00000078,Carolyn_B_Maloney
N00000133,Donna_Christian-Christensen
N00000153,Richard_E_Neal
N00000179,James_P_McGovern
N00000226,John_F_Tierney
N00000267,Michael_E_Capuano
N00000270,Ed_Markey
N00000362,Jack_Reed
N00000491,Susan_Collins
N00000515,Peter_Welch
N00000528,Bernie_Sanders
N00000575,John_B_Larson
N00000615,Rosa_L_DeLauro
N00000659,Frank_Lautenberg
N00000684,Rodney_Frelinghuysen
N00000699,Robert_Menendez
N00000743,Scott_Garrett
N00000751,Bill_Pascrell_Jr
N00000781,Frank_Pallone_Jr
N00000826,Robert_E_Andrews
N00000851,Frank_LoBiondo
N00000860,Rush_Holt
N00000898,Leonard_Lance
N00000939,Jerrold_Nadler
N00000964,Charles_B_Rangel
N00001003,Eliot_L_Engel
N00001024,Nita_M_Lowey
N00001093,Charles_E_Schumer
N00001102,Nydia_M_Velazquez
N00001127,Joseph_Crowley
N00001148,Carolyn_McCarthy
N00001171,Gregory_W_Meeks
N00001193,Pete_King
N00001285,Chris_Collins
N00001311,Louise_M_Slaughter
N00001373,Mike_Doyle
N00001489,Pat_Toomey
N00001579,Allyson_Schwartz
N00001619,Robert_A_Brady
N00001633,Joe_Pitts
N00001685,Jay_Rockefeller
N00001691,Carl_Levin
N00001692,Eleanor_Holmes_Norton
N00001746,Chaka_Fattah
N00001758,Chuck_Grassley
N00001783,John_D_Dingell
N00001811,Lamar_Smith
N00001813,Jose_E_Serrano
N00001817,C_W_Bill_Young
N00001821,Steny_H_Hoyer
N00001861,Henry_Waxman
N00001945,Barbara_A_Mikulski
N00001955,Ben_Cardin
N00001971,Elijah_E_Cummings
N00002073,Frank_Wolf
N00002083,Jim_Moran
N00002097,Mark_Warner
N00002147,Bobby_Scott
N00002198,Nick_Rahall
N00002221,Richard_Burr
N00002247,Howard_Coble
N00002260,David_Price
N00002299,Walter_B_Jones_Jr
N00002328,Melvin_L_Watt
N00002356,Mike_McIntyre
N00002408,James_E_Clyburn
N00002424,Mark_Sanford
N00002577,John_Lewis
N00002593,Johnny_Isakson
N00002656,Jack_Kingston
N00002674,Sanford_Bishop
N00002685,Saxby_Chambliss
N00002713,Corrine_Brown
N00002793,John_L_Mica
N00002858,Ileana_Ros-Lehtinen
N00002884,Alcee_L_Hastings
N00002893,Lois_J_Frankel
N00002942,Charlie_Crist
N00003028,Robert_B_Aderholt
N00003062,Jeff_Sessions
N00003105,Marsha_Mrs_Blackburn
N00003132,Jim_Cooper
N00003209,John_J_Duncan_Jr
N00003225,Steve_Cohen
N00003280,Roger_Wicker
N00003288,Bennie_G_Thompson
N00003328,Thad_Cochran
N00003389,Mitch_McConnell
N00003467,Ed_Whitfield
N00003473,Hal_Rogers
N00003522,Marcy_Kaptur
N00003535,Sherrod_Brown
N00003675,John_Boehner
N00003682,Rob_Portman
N00003689,Steve_Chabot
N00003813,Pete_Visclosky
N00003845,Dan_Coats
N00003950,Sander_Levin
N00004029,John_Conyers_Jr
N00004118,Debbie_Stabenow
N00004133,Fred_Upton
N00004207,Tom_Harkin
N00004227,Tom_Latham
N00004291,F_James_Sensenbrenner_Jr
N00004357,Paul_Ryan
N00004367,Tammy_Baldwin
N00004403,Ron_Kind
N00004426,Tom_Petri
N00004436,John_Kline
N00004558,Collin_Peterson
N00004572,John_Thune
N00004614,Kevin_Cramer
N00004643,Max_Baucus
N00004719,Peter_Roskam
N00004724,Jan_Schakowsky
N00004874,Luis_V_Gutierrez
N00004884,Danny_K_Davis
N00004887,Bobby_L_Rush
N00004961,John_M_Shimkus
